Eres muy importante para el Real Madrid y por eso queremos estar en este día junto a ti.	88
Opción 1: González Casilla	26
Opción 2: Martínez	18
Opción 3: Fernández Almada	26
Opción 4: Valentini	19
Efectivamente, la respuesta correcta es la opción 3.	52
Tiene uno, vendió los otros dos.	32
¡Vaya día frío y húmedo! Quizás pueda encontrar un café en la ciudad para calentar mis huesos.	94
En el mercado compré lechugas frescas, kiwis, piñas y almendras.	64
Mi abuela tejía suéteres para mis primos mientras cantaba villancicos.	70
El viento silba en la ventana mientras el búho canta su triste melodía.	71
La gente en la plaza bailaba al son de la música, disfrutando de la noche estrellada.	85
El zapatero hábilmente reparó los tacones de mis botas, y ahora caminan como si fueran nuevas.	94
¡Qué rico pastel de nueces y miel! Lo preparé para mi familia en el día de acción de gracias.	93
El agua del río es cristalina y refrescante, perfecta para nadar en los días calurosos de verano.	97
Los niños jugaban en la playa mientras las olas del mar chocaban en la orilla.	78
El arco iris apareció después de la tormenta, llenando el cielo de colores vibrantes.	85
Cumple tres años, su hermano cumplirá cuatro en cinco meses.	60
En seis semanas se incorporarán siete nuevos empleados.	55
El tio Pérez tenía ocho ovejas cuando vivía en la montaña, ahora ya tiene nueve.	80
Martínez Santamaría es un apellido muy común, entre diez y doce personas se llaman así en mi compañía.	102
Once jugadores saltan al campo, pero no todos están comprometidos con la victoria.	82
Doce es un número con propiedades mágicas.	42
El número trece se asocia a la mala suerte, pero yo no creo en supersticiones.	78
Hace catorce años pasamos un verano fabuloso en Almería.	56
Entre quince y veinte personas pueden viajar en este autocar entre Valencia y Alicante.	87
Treinta turistas viajaron a Granada a visitar la Giralda, menuda decepción se llevaron cuando se enteraron de que está en Sevilla.	130
Alí Babá y los Cuarenta ladrones es una fábula de las mil y una noches de Sherezade.	84
Cincuenta pesetas me bastaban para ir al cine cuando era pequeño.	65
Tiene sesenta años y ya está jubilado, se mudará a Málaga pronto.	65
¿Dónde vive García?	19
¿Cuántos años cumple Julián?	28
¿Cómo se apellida Raúl?	23
¿Cuando se hizo madridista Jose Luis? 	38
En los setenta se hacía un cine exquisito.	42
Eugenio era un humorista muy conocido que se hizo popular en los Ochenta.	73
Noventa San bernardos se juntaron en un evento canino.	54
El cantante Victor Manuel tiene más de Cien éxitos.	51
El bazar de Omar tiene Ciento un variedades de té.	50
Saúl cumplirá Ciento Catorce pronto, ¡batirá todos los récords!	63
Vive en Francia desde 2017.	27
Vive en Australia por su hija, que estudia en la universidad de Sydney desde 2014.	82
Madrid empezó como una humilde villa, y hoy es una gran metrópolis.	67
Vive en Roche, cerca de Cádiz.	30
El saxofón suena muy bien en el jazz y el blues.	48
Con la lluvia y la neblina, la ciudad se ve misteriosa y enigmática.	68
El chef preparó un plato exquisito con gambas, queso feta, albahaca y limón.	76
El guerrero espartano luchó con coraje y valentía contra sus enemigos.	70
La cebra tiene rayas blancas y negras, lo que la hace fácilmente distinguible en la sabana.	91
La música clásica es muy relajante y puede ayudar a reducir el estrés.	70
En el lago se pueden pescar truchas y carpas, que son deliciosas cuando se cocinan bien.	88
Los tejados de las casas estaban cubiertos de nieve, creando un paisaje invernal mágico.	88
El gorila es un animal muy fuerte y poderoso, que puede levantar objetos pesados con facilidad.	95
"La palabra ""venganza"" suena muy fuerte y dramática en cualquier idioma."	71
El Español y el Albacete se enfrentaron en la final de la Copa del Rey.	71
El gato negro se escondía entre las sombras de la noche, acechando a su presa.	78
La lluvia caía suavemente sobre el campo, refrescando la tierra y alimentando las plantas.	90
La risa de los niños es contagiosa y llena de alegría, haciendo que todos se sientan felices.	93
El águila es un ave majestuosa y poderosa que puede volar a grandes alturas.	76
Los molinos de viento giran lentamente en el paisaje holandés, creando una vista hermosa.	89
La voz del cantante de ópera llena la sala con su tono fuerte y emotivo.	72
El burro es un animal muy terco pero también muy leal, capaz de cargar grandes cargas.	86
El fuego crepitaba y chisporroteaba en la chimenea, calentando el hogar en una noche fría.	90
La guitarra flamenca tiene un sonido distintivo y emocional, que evoca la pasión y la intensidad.	97
"La palabra ""libertad"" tiene un significado muy importante para muchas personas, y suena muy hermosa al pronunciarla."	116
Villaconejos es un pueblo estupendo.	36
Zubizarreta fue un gran portero de fútbol.	42
El murciélago es un animal nocturno que utiliza la ecolocación para moverse en la oscuridad.	92
El vino tinto tiene un sabor aterciopelado y complejo, con notas de frutas y especias.	86
El mar está en calma, con su superficie lisa como un espejo, reflejando el cielo azul.	86
La risa es el mejor remedio para el estrés y la ansiedad, y suena muy bien en cualquier idioma.	95
El jaguar es un animal ágil y fuerte, capaz de cazar grandes presas en la selva.	80
El arpa es un instrumento musical muy elegante y sofisticado, que produce un sonido dulce y suave.	98
El camello es un animal resistente y adaptable, capaz de sobrevivir en el desierto durante largos períodos.	107
"La palabra ""felicidad"" suena muy alegre y positiva, evocando una sensación de bienestar y satisfacción."	103
El perro ladraba fuerte y estridente, alertando a su dueño de la presencia de un extraño.	89
La abeja es un insecto muy trabajador y productivo, que poliniza las flores y produce miel deliciosa.	101
El pingüino es un animal simpático y divertido que habita en la Antártida.	74
El atardecer en el mar es una vista impresionante, con los colores cálidos del sol pintando el cielo.	101
"La palabra ""amor"" es una de las más hermosas y poderosas en cualquier idioma, y suena muy emotiva."	98
El zorro es un animal astuto y escurridizo que puede encontrar comida en cualquier lugar.	89
El sonido de la guitarra eléctrica es fuerte y potente, creando una experiencia musical emocionante.	100
El búho es un animal sabio y misterioso que a menudo se asocia con la noche.	76
El chocolate tiene un sabor intenso y rico, con notas dulces y amargas que lo hacen muy apetitoso.	98
"La palabra ""esperanza"" suena muy motivadora y positiva, y puede inspirar a las personas a seguir adelante."	106
El elefante es un animal majestuoso y tranquilo que tiene una gran inteligencia y memoria.	90
La mariposa es un insecto muy bonito y colorido, que puede volar de flor en flor en busca de néctar.	100
Serrano se subió a la parra y se dió un buen golpe.	51
Don Eladio era un villano en la serie que más le gusta a Ismael.	64
El segundo paso para eliminar el calor es bañarte con agua fría.	64
Dime a ciencia cierta, ¿quién es este personaje?	48
¡Necesito que me hagas un favor!	32
El río serpenteaba por el valle, reflejando la luz del sol y creando una vista impresionante.	93
"La palabra ""verdad"" es muy importante y necesaria para la vida, y suena muy seria y contundente."	96
El tigre es un animal salvaje y peligroso que vive en la selva, cazando presas para sobrevivir.	95
El sonido de la trompeta es fuerte y majestuoso, creando una atmósfera emocionante en cualquier actuación.	106
El kiwi es una fruta pequeña y jugosa, que tiene un sabor dulce y agrio al mismo tiempo.	88
"La palabra ""paz"" suena muy tranquila y armoniosa, y puede ser una de las más deseables para la humanidad."	105
El caracol es un animal lento y tranquilo, que se arrastra por el suelo en busca de comida.	91
El sonido de la cascada es relajante y calmante, creando una sensación de serenidad y paz.	90
"La palabra ""amistad"" suena muy cálida y cercana, y puede ser uno de los valores más importantes para muchas personas."	117
El león es el rey de la selva, con su melena dorada y su rugido poderoso.	73
¿Has visto alguna vez un erizo de mar?	38
¿Cuáles son las zonas en las que hay carriles de bicicleta?	59
¿Quiere una cartera azul, roja o amarilla?	42
¡Hace años que no voy a ningún concierto!	41
Voy a tener visitas y quiero sorprenderlos con un plato exquisito.	66
Ayer llovió mucho y llegué tarde a mi reunión	45
Te puedo compartir algunos links de video para que veas lo que pasó.	68
¿Me puedes ayudar a cocinar una tarta de manzana?	49
Me reencontré con una novia que no veía desde la secundaria gracias a Facebook.	79
Mi conexión a internet es muy buena.	36
¡Los higaditos de pollo me encantan!	36
Para hacer esta receta necesitas carne de buena calidad.	56
¡A mi esposo le encantaría ir al festival de cine de Venecia!	61
Estoy buscando un restaurante de cocina de vanguardia.	54
¿Me puedes mandar fotos de tu perro?	36
La Torre de la luz es uno de los monumentos favoritos de Rodríguez.	67
Mis últimos viajes fueron muy aburridos y esta vez quiero hacer algo emocionante.	81
Este entrenador es muy famoso.	30
Un poco de humor nunca cae mal después de estos desastres.	58
Este jugador tuvo muchos problemas hasta llegar a ser uno de los mejores.	73
Quiero hacer algo menos intenso.	32
Hay clases de cerámica cerca de mi casa.	40
El nueve de diciembre del año pasado compraste dos ejemplares de ese disco.	75
¡Hay muchas opciones!	21
Es recomendable tomar té caliente descafeinado antes de dormir.	63
Necesito por favor que busques que transporte usan los habitantes de monterrey para ir a su trabajo.	100
¡Los niños tienen mucha imaginación!	36
¡Estoy destinada a triunfar!	28
La playa es un lugar maravilloso para relajarse, con su arena suave y el sonido de las olas del mar.	100
El chicle es un dulce muy popular, que se mastica para mantener el aliento fresco.	82
"La palabra ""fuerza"" suena muy poderosa y motivadora, y puede ser una de las más importantes en momentos difíciles."	114
El canguro es un animal muy ágil y saltarín, que vive en Australia y se mueve por grandes saltos.	97
El sonido del saxofón es suave y melódico, y puede ser muy emotivo y expresivo.	79
El pavo real es un animal muy vistoso, con su plumaje lleno de colores brillantes y exóticos.	93
"La palabra ""libertad"" suena muy liberadora y emocionante, y puede ser una de las más valiosas para muchas personas."	115
El zancudo es un insecto muy molesto que pica a las personas y animales, causando comezón y molestias.	102
El sonido de la campana es fuerte y penetrante, y puede ser utilizado para llamar la atención en distintas situaciones.	119
El oso panda es un animal muy tierno y simpático, que come principalmente bambú y vive en las montañas de China.	112
¿Te puedo compartir estas fotos?	32
Hay zonas de los océanos donde abundan los microplásticos.	58
Estacione el auto en la zona segura, y encienda las luces intermitentes.	72
Quiero reservar mi vuelo lo antes posible.	42
Yo quiero comer pavo pero nadie más quiere.	43
El otro día me comí un arroz con calamar.	41
Quiero saber, ¿qué tipo de pizza es la más saludable?	53
¿Cuántos premios has ganado?	28
La ciudad de Nueva York es una de las más icónicas y vibrantes del mundo, con su famosa Estatua de la Libertad.	111
El plátano es una fruta muy nutritiva y versátil, que se puede comer fresca o utilizarse en recetas de postres.	111
"La palabra ""vida"" suena muy vital y llena de energía, y puede ser una de las más importantes para todas las personas."	117
El gorila es un animal muy fuerte y poderoso, que vive en la selva y se comunica a través de gruñidos y gestos.	111
El sonido de la batería es fuerte y rítmico, y puede ser utilizado en una variedad de géneros musicales.	104
El flamenco es un ave muy elegante y hermosa, con su plumaje rosado y su elegante danza.	88
"La palabra ""esperanza"" suena muy motivadora y positiva, y puede inspirar a las personas a seguir adelante."	106
El murciélago es un animal muy interesante y peculiar, que se mueve en la noche y se orienta a través de la ecolocación.	120
El sonido del violín es suave y emotivo, y puede ser utilizado para expresar una variedad de emociones.	103
El canguro es un animal muy ágil y saltarín, que vive en Australia y se mueve por grandes saltos.	97
¿Cómo puedo comunicarme con el jefe de gobierno?	48
Solo quiero escuchar algo diferente.	36
Necesito una máquina de escribir con teclas suaves.	51
Ser científico en la India está muy bien considerado.	53
¿Necesitas que tu computadora tenga mucha memoria?	50
El chile es un ingrediente muy picante y popular en la gastronomía mexicana, que se utiliza para darle sabor a una gran variedad de platillos.	142
"La palabra ""tristeza"" suena muy melancólica y emotiva, y puede ser utilizada para describir una variedad de emociones negativas."	128
El rinoceronte es un animal muy grande y poderoso, que vive en África y tiene una piel gruesa y arrugada.	105
El sonido del piano es suave y dulce, y puede ser utilizado en una gran variedad de géneros musicales.	102
El pingüino es un animal muy simpático y tierno, que vive en climas fríos y se desplaza a través del hielo.	107
"La palabra ""alegría"" suena muy positiva y motivadora, y puede inspirar a las personas a buscar la felicidad y el bienestar."	123
El zorro es un animal muy astuto y hábil, que vive en una gran variedad de climas y se mueve a través de grandes saltos.	120
El sonido del violoncello es profundo y resonante, y puede ser utilizado para crear atmósferas emotivas y melancólicas.	119
El gorrión es un ave muy común y sencilla, que vive en una gran variedad de entornos urbanos y rurales.	103
"La palabra ""amor"" suena muy cálida y cercana, y puede ser utilizada para describir una de las emociones más poderosas y universales."	132
¿Cuál fue el último disco que grabaron?	39
Montar un mueble de Ikea es como resolver un acertijo.	54
Las aerolíneas priorizan sus beneficios al bienestar de sus pasajeros, ¡qué mal viaje pasé!	91
¡Solo quiero invitar a mi familia!	34
¡Hoy decidí dejar de ser contador!	34
El chocolate es un dulce muy popular y delicioso, que se elabora a partir del cacao y se utiliza en una gran variedad de postres.	129
"La palabra ""sorpresa"" suena muy emocionante y misteriosa, y puede ser utilizada para describir una variedad de situaciones inesperadas."	135
El león es un animal muy imponente y majestuoso, que vive en las llanuras de África y se comunica a través de rugidos.	118
El sonido del clarinete es suave y melancólico, y puede ser utilizado para expresar una gran variedad de emociones.	115
El canguro es un animal muy ágil y saltarín, que vive en Australia y se desplaza a través de grandes saltos.	108
"La palabra ""esperanza"" suena muy motivadora y positiva, y puede inspirar a las personas a buscar un futuro mejor."	113
El jaguar es un animal muy poderoso y elegante, que vive en la selva y se alimenta principalmente de carne.	107
El sonido de la guitarra es cálido y envolvente, y puede ser utilizado para crear atmósferas románticas y emocionales.	118
El quetzal es un ave muy colorida y hermosa, que vive en las selvas de América Central y es considerada un símbolo de libertad y belleza.	137
"La palabra ""justicia"" suena muy importante y necesaria, y puede ser utilizada para describir el valor de tratar a todas las personas con equidad y respeto."	155
¿Qué hizo el presidente cuando perdió su partido?	49
Hay varios cines cerca de tu hotel.	35
¿Estás buscando algo en especial?	33
¿Deseas avisar a tu familia y decirles que estás bien?	54
Mañana va a nevar al amanecer y a la tarde caerá granizo.	57
Los zapatos se estropean con la lluvia torrencial.	50
Ayer hizo un frio de espanto.	29
Los documentales de águilas cazando lobos son espectaculares.	61
Llevo unos meses a dieta pero se me antojó una pizza.	53
Me llegó una invitación para un casting pero no conozco bien al director.	73
En Portugal, ¡se dan las olas más grandes del mundo!	52
¡Los quesos que hacen en esa zona son para chuparse los dedos!	62
A mi mujer le gustaban mucho los perros y los gatos, pero yo quiero tener una serpiente.	88
Yo te puedo reservar los boletos si quieres.	44
Me enteré que viene a México el mejor músico de música paquistaní del mundo.	76
El muñeco que le compré a la hija de Fernanda le encantó tanto que ahora Enrique le tiene envidia. 	99
¡Estoy muy emocionado porque me voy a tierra del fuego!	55
Estrenaron una obra de teatro acá en Caracas, pero no me acuerdo si es un drama.	80
Necesito que me ayudes a buscar centros de reciclaje, ¡tengo mucho cartón!	74
Estoy acá con una amiga cocinando arroz.	40
Una vez que te inscribes, te envían una tarjeta especial y la usas como si fuera tu tarjeta del subte.	102
¿Cuántos deportes se practican en las olimpiadas y cuántos países participan?	77
En este momento estoy enviando a sus mails unos links de unas meditaciones en YouTube	85
¿Quién subió el mejor video?	28
¿Tienes alguna otra sugerencia?	31
Un plan así: romántico, bonito, íntimo.	39
Salió al mercado un modelo nuevo con distintos colores.	55
Voy a llevar a mi sobrino a Disney World y quería saber los horarios del parque para planearlo todo muy bien.	109
¡Necesito tu ayuda para una tarea de la escuela!	48
¡Los datos que arroja la contaminación subacuática del océano pacifico son alarmantes!	86
Quiero que me recomienden música que haya ganado algún premio.	62
¡Estoy muy emocionado porque me voy a Italia!	45
Hasta que no acabes la tarea no puedes salir con tus amigos.	60
¿Le cayó alguna sustancia irritante?	36
Mañana va a llover todo el día, ¡no olvide su impermeable!	58
¿Por qué dicen que la sal no es saludable?	42
¡No te entiendo nada!	21
El yoga además de relajarte y de equilibrar tu organismo,  también te permitirá tonificar los brazos y las piernas	114
Busca carteras que cuesten entre tres mil y cinco mil pesos.	60
Geográficamente hablando, es un lugar de mucho relieve, hay llanos, hay montañas, hay cerros y hay cascadas.	108
El pijama de rayas es azul.	27
No te recomiendo que compres un auto usado, porque es muy difícil saber en qué estado se encuentra	98
Quiero poder conectarme al internet por medio de la televisión.	63
En el noticiero nocturno no vi al presentador de siempre.	57
¿Qué café es el que más me recomiendas?	39
Hemos encontrado varios blogs con opiniones generales sobre el tema.	68
Quiero saber, ¿Qué tipo de pizza tiene menos calorías?	54
¿Te gustan los chocolates?	26
La granizada destruyó toda la plantación de lechuga.	52
Tengo que viajar a España a un concierto y no sé cómo reservar los boletos del teatro.	86
La pronunciación del francés es difícil.	40
¿Puedes verificar si hay alguna ferretería cerca de casa de mis abuelos?	72
¿Cuándo nació Napoleón Bonaparte?	33
¿Me puedes mandar más información sobre los hechos?	51
No supo descifrar las huellas.	30
Parece ser que las líneas están saturadas señor, pero podría seguir intentando.	79
Estoy buscando los libros más famosos del dos mil diecisiete.	61
Este entrenador es muy famoso.	30
¡La primera les va a encantar!	30
Ellos ven la televisión entre la una y las tres de la tarde.	60
Definitivamente el departamento tiene que tener terraza o balcón.	65
En ese canal hay documentales a esas horas.	43
Para la caída del cabello tengo un nuevo champú.	48
Los precios que manejan están entre cincuenta y ciento cincuenta pesos.	71
Tengo un teléfono que funciona muy mal.	39
Estoy seguro que has escuchado la canción porque la compraste hace tres años y medio a través de internet.	106
La pelea entre Rodrigo y Manuel estaba arreglada.	49
¡No me gusta comer en un lugar con mucha gente!	47
Tiene que estar dos horas antes de la función para buscar las entradas.	71
¡La película me llegó al corazón!	33
Las motos no son muy seguras.	29
Las sillas de aluminio se rompen enseguida.	43
Volar en avión en años recientes es muy incómodo, en clase turista sobre todo si eres grande.	93
¿Podrás pasar alguna obra de teatro para hoy a la noche?	56
Ahora puedes encontrar jamón serrano en todos lados.	52
Como vienen personas de diferentes partes del mundo, necesito traductores.	74
¡Tienes razón!, es mucho mejor andar en bici, últimamente he visto muchas bicicletas rojas.	91
¿Te gustaría comer hamburguesas con una cerveza artesanal?	58
¿Qué opciones de horario de salida hay?	39
Te quiero pedir ocho cajas de papel higiénico y treinta de toallas no desechables.	82
Si prefieres ir por tierra te recomiendo que te hospedes en el hotel paraíso para que llegues de día y no de noche.	115
Mañana va a llover en la tarde después de las cuatro y media.	61
¿Cuáles son los días que se destinan a los ciclistas?	53
Necesito hacer una página web y no sé cómo.	43
Con esta información, ¡tú director de casting va a quedar encantado!	68
¿Cómo se llama el presidente de Francia?	40
¿Cuál es la definición de una obra de teatro?	45
 ¡Mañana va a hacer mucho frío!	31
¿Cuántos deportes se practican en las olimpiadas y cuántos países participan?	77
¿Necesitas que te reserve un taxi?	34
¿Cuál es el diario más importante?	34
¿En qué calle está la casa?	27
Su trabajo es arriesgado y profundo.	36
Tengo que hacer una presentación para la oficina y queremos relacionarlo con un evento deportivo.	97
¿Necesitas que te reserve también tu vuelo?	43
¿Puedes verificar si hay algún colegio cerca?	45
¿Hay algún vuelo más barato que pase por las islas canarias? 	61
Las rosas simbolizan el amor.	29
Recomiéndame un libro con una historia romántica.	49
Quiero saber, ¿Qué está pasando en Veracruz?	44
Te doy la bienvenida a nuestro evento.	38
Que pases un feliz Viernes.	27
Gracias por prestarme unos minutos de tu tiempo.	48
Nuestra oferta es insuperable, no hay nada parecido en el mercado.	66
Te dejé las llaves en el buzón.	31
En España se hablan muchos idiomas.	35
La lluvia no me molestó tanto como esperaba.	44
Viajar contigo siempre es agradable.	36
Me gusta coleccionar monedas antiguas.	38
Me encantan los churros con chocolate.	38
Deberíamos tener una cita para comer juntos, siempre es divertido.	66
Raúl se siente muy arraigado a su tierra.	41
¡Para la caída del cabello, tengo un nuevo jabón!	49
¿Qué color favorito es el más popular?	38
El pijama de rayas es azul.	27
Las máquinas de escribir antiguas pueden ser muy caras.	55
Al circular menos automóviles en la ciudad, se logra una mejor calidad del aire.	80
¿A qué horas quieres ir al cine?	32
¡Estoy destinada a triunfar!	28
Tengo una junta de negocios con la firma del abogado ¿recuerdas?	64
Para abrir los poros de la piel, lo mejor es ir a una sauna o tomar un baño de vapor.	85
Para hacer esta receta necesitas fruta y alcohol.	49
Quiero que me ayudes a elegir un regalo.	40
El yoga además de relajarte y de equilibrar tu organismo también te permitirá tonificar los brazos y las piernas.	113
La oscuridad del pozo era obscena por naturaleza.	49
Aquí doblamos a la derecha.	27
Las tejas rojas del tejado no son de México.	44
Estaba pensando en ir a acampar.	32
Lo puedes pagar con la tarjeta verde de Visa.	45
¿Cuáles son las principales diferencias?	40
¿Cuál es la estación de metro más cercana?	42
